cnnaffinity,Smiles,h,enamine_id,enamine_searched
-4.22128,[H]c1nc([H])c([C@]([H])(C(=O)C(=O)C(F)(F)F)N([H])[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(C2=C(C([H])([H])N([H])[C@@]3([H])C([H])([H])[C@@]3([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@@]3([H])S[C@]2([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-5.533,[H]c1nc([H])c(-n2c([H])c([H])n3nc(-c4c([H])c([H])c([H])c5c4c([H])c([H])n5[H])c([H])c23)c([H])c1[H],6,,False
-5.28953,[H]c1nc([H])c(C([H])([H])n2c([H])nnc2-c2c([H])nc3c([H])c([H])c([H])c([H])c3c2[H])c([H])c1[H],6,,False
-4.96861,[H]c1nc([H])c([C@]2(C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3OC([H])([H])[H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.89308,[H]C1=C(C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])N([H])C(=S)N([H])[C@@]1([H])c1c([H])nc([H])c([H])c1[H],6,,False
-4.75495,[H]C(=C1C(N([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.26461,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2C([H])([H])n2nc(OC([H])([H])[H])oc2=O)c([H])c1[H],6,,False
-4.50992,[H]c1nc([H])c(N(N([H])c2c([H])c([H])c3c(c([H])nn3[H])c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-4.73217,[H]c1nc(C#Cn2nnnc2Sc2c([H])nc([H])c([H])c2[H])c([H])c([H])c1[H],6,,False
-5.2865,[H]c1nc([H])c(N2C(=O)N(N([H])S(=O)(=O)c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])C([H])([H])C2=O)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-c2c(-c3c([H])c([H])c([H])c(C#N)c3[H])ssc2=S)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(N=Nc2c([H])c([H])c([H])c3nc([H])c([H])c([H])c23)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(N([H])[S@@](=O)c2c([H])c([H])c3c(c2[H])OC([H])([H])C([H])([H])O3)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c([C@]2([H])OC([H])([H])[C@]3([H])[C@@]2([H])C([H])([H])O[C@]3([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.89301,[H]N=C(SC([H])([H])N(C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])nc([H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-c2nnc(C3(c4nc5c([H])c(C(=O)N([H])[H])c([H])c([H])c5n4[H])C([H])([H])C3([H])[H])s2)c([H])c1[H],6,,False
-5.329,[H]c1nc([H])c(Oc2c([H])nn([H])c2C([H])([H])N2C(=O)c3c([H])c([H])c([H])c([H])c3C2=O)c([H])c1[H],6,,False
-5.56071,[H]c1nc([H])c(-c2nc(-c3c([H])nc([H])c4c([H])c([H])c([H])c([H])c34)n([H])n2)c([H])c1[H],6,,False
-4.66938,[H]N=c1sc([H])c(-c2oc3c([H])c([H])c([H])c([H])c3c2[H])n1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.16553,[H]c1nc([H])c(C([H])([H])c2nnnn2N2C([H])([H])C([H])([H])[C@]3([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]23[H])c([H])c1[H],6,,False
-5.84529,[H]c1nc(N2C([H])([H])C([H])([H])N([C@@]3(c4c([H])nc([H])c([H])c4[H])C([H])([H])[C@]4([H])C([H])([H])C([H])([H])[C@@]3([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1[H],6,,False
-5.54875,[H]c1nc([H])c([C@@]2([H])C([H])([H])c3nn([H])c(-c4c([H])c([H])c([H])c(C(F)(F)F)c4[H])c3C2([H])[H])c([H])c1[H],6,,False
-5.30855,[H]C(=C(Br)c1c([H])sc2c([H])c([H])c([H])c([H])c12)c1c([H])nc([H])c([H])c1[H],6,,False
-4.98606,[H]Oc1c([H])c(Cl)c([H])c([H])c1On1nc([H])nc1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.47108,[H]c1nc([H])c(C(N([H])c2c([H])c([H])c([H])c(Cl)c2Cl)(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-c2c([H])c(=O)n(OC([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c(=O)n2[H])c([H])c1[H],6,,False
-4.74608,[H]c1nc([H])c(C#CC([H])([H])c2nc([H])n([H])c2[H])c([H])c1[H],6,,False
-5.28011,[H]c1nc([H])c(-c2c([H])nc3sc(N([H])c4c([H])c([H])c(F)c([H])c4[H])nn23)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c([C@@]2([H])SC([H])([H])C(=O)N2c2nc3c([H])c([H])c([H])c([H])c3s2)c([H])c1[H],6,,False
-4.83608,[H]C(=C1SC(=S)N([H])C1=O)[C@]([H])(Sc1c([H])nc([H])c([H])c1[H])C([H])([H])[H],6,,False
-5.29081,[H]c1nc([H])c(-n2c([H])nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],6,,False
-4.68845,[H]c1nc([H])c(C(=O)N2C([H])([H])C([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C2([H])[H])c([H])c1[H],6,,False
-5.48037,[H]c1nc([H])c(C2(c3nnc(N([H])C(=S)N([H])c4c([H])c([H])c([H])c([H])c4[H])o3)C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.96458,[H]c1nc([H])c(N([H])c2c([H])nn([H])c2N2C([H])([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])C2([H])[H])c([H])c1[H],6,,False
0.0,[H]c1nc(N([H])[H])nc(-c2nc3n(c2-c2c([H])nc([H])c([H])c2[H])C([H])([H])C([H])([H])S3)c1[H],6,,False
-4.45334,[H]c1nc(OC([H])([H])[H])c(N(C([H])([H])[H])S(=O)(=O)c2c([H])nc([H])c([H])c2[H])c([H])c1[H],6,,False
-4.5267,[H]c1nc([H])c(C([H])([H])[C@@]([H])(Cl)OC([H])([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(C2=C(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c([C@]2([H])[C@@]([H])(C(=O)c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])C([H])([H])[C@@]3([H])S[C@]2([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-4.93864,[H]OC(=O)c1c(C([H])([H])N([H])C(=Nc2c([H])nc([H])c([H])c2[H])N([H])[H])c(C([H])([H])[H])nn1[H],6,,False
-5.13151,[H]c1nc([H])c(-n2c([H])nnc2C([H])([H])N([H])C(=O)c2sc([H])c([H])c2[H])c([H])c1[H],6,,False
-5.92715,[H]c1nc([H])c(-n2nc(C([H])([H])c3c([H])c([H])c(Cl)c(Cl)c3[H])c([H])c([H])c2=O)c([H])c1[H],6,,False
-4.44859,[H]c1nc([H])c([S@](=O)C([H])([H])c2c([H])c([H])c([H])c([H])c2C#N)c([H])c1[H],6,,False
-5.26102,[H]c1nc([H])c(-c2noc([H])c2-c2c([H])c([H])c([H])c(OC(F)(F)F)c2[H])c([H])c1[H],6,,False
-5.11269,[H]c1nc([H])c(-c2c(N([H])C(=O)c3oc([H])c([H])c3[H])c([H])nn2[H])c([H])c1[H],6,,False
-5.18472,[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(c3c([H])c([H])c(F)c([H])c3F)C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.89727,[H]C1=C(c2c([H])nc([H])c([H])c2[H])C([H])([H])C([H])([H])[C@]1([H])c1c([H])c([H])c2c(c1[H])c([H])c([H])n2[H],6,,False
-4.99877,[H]c1nc([H])c(-c2nnn(-c3c([H])c([H])c([H])c(-c4c([H])c([H])c([H])c([H])c4[H])c3[H])c2[H])c([H])c1[H],6,,False
-4.97463,[H]ON(C(=O)N([H])N([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-4.90563,[H]c1nc([H])c(N([H])C(=O)Oc2nc3c([H])c([H])c([H])c([H])c3c([H])c2[H])c([H])c1[H],6,,False
-4.47654,[H]c1nc([H])c(O[C@]([H])(c2nc([H])c([H])c(C([H])([H])[H])c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.56665,[H]C(=C(Cl)c1c([H])nc([H])c([H])c1[H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])nc12,6,,False
0.0,[H]c1nc(C([H])([H])Oc2nsc(-c3c([H])nc([H])c([H])c3[H])n2)c([H])c([H])c1[H],6,,False
-4.81294,[H]c1nc(-n2c([H])c([H])c([H])c2C([H])([H])c2c([H])nc([H])c([H])c2[H])nc(C(F)(F)F)c1[H],6,,False
-4.81427,[H]c1nc([H])c([C@@]2([H])C([H])([H])C([H])([H])N([H])C([H])([H])[C@]2([H])c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c([H])c1[H],6,,False
-4.97913,[H]c1nc([H])c(N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],6,,False
-6.33998,[H]c1nc([H])c(-c2nn3c(c2C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-4.57923,[H]c1nc([H])c(C2=NN(N3C([H])([H])C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C3([H])[H])C(=O)C2([H])[H])c([H])c1[H],6,,False
-4.66172,[H]c1nc([H])c(SN([H])N2C([H])([H])C([H])([H])C([H])(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.7652,[H]c1nc([H])n(C([H])([H])[C@@]([H])(N([H])c2c([H])nc([H])c([H])c2[H])C([H])([H])[H])n1,6,,False
-5.85622,[H]c1nc([H])c(-n2c(N([H])c3c([H])c([H])c([H])c([H])c3C(=O)N([H])[H])nn([H])c2=S)c([H])c1[H],6,,False
-5.23811,[H]c1nc([H])c(-n2nnnc2Oc2nc3c([H])c([H])c([H])c([H])c3n2[H])c([H])c1[H],6,,False
