cnnaffinity,Smiles,h,enamine_id,enamine_searched
0.0,FC(F)(F)C(c1nn(c2c(c(nc3c(c(c(nc23)[H])[H])[H])[H])[H])c(C(c2c(c(c(nc2[H])[H])[H])[H])([H])[H])n1)([H])[H],6,PV-004523915437,False
-4.9683,[H]C(=C1SC(=S)N([H])C1=O)c1nc([H])c([H])n1-c1c([H])nc([H])c([H])c1[H],6,,False
-4.97367,[H]c1nc([H])c([C@]2([H])N([H])C(=O)O[C@@]2([H])c2nc3c([H])c([H])c([H])c([H])c3o2)c([H])c1[H],6,,False
-5.66212,C(N(C([H])([H])[H])C(=O)C(C(c1nc(C(c2c(c(c(nc2[H])[H])[H])[H])([H])[H])nn1c1c(c(c(c2c1n(c(n2)[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H],6,PV-005973040722,False
-6.31607,C(c1c(c(c(c(c1n1nc(C(c2c(c(c(nc2[H])[H])[H])[H])([H])[H])nc1C(C(c1c(c(c(n1C([H])([H])[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],6,PV-003549003606,False
-4.80992,[H]O[C@]([H])(C(=O)N([H])c1c([H])nc([H])c([H])c1[H])c1c([H])nc([H])c2c([H])c([H])c([H])c([H])c12,6,,False
-5.42702,[H]c1nc([H])c(-c2c([H])c([H])c(=O)n(N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],6,,False
-5.33539,[H]c1nnc(C([H])([H])c2c([H])c([H])c([H])c(Cl)c2[H])nc1-c1c([H])nc([H])c([H])c1[H],6,,False
-4.46137,[H]C(=Nc1c([H])nc([H])c([H])c1[H])c1nc(C([H])([H])[H])c([H])c([H])c1[H],6,,False
-5.31074,[H]c1nc([H])c(-c2nc(C([H])([H])c3c([H])c([H])c([H])c(Cl)c3[H])c([H])o2)c([H])c1[H],6,,False
-5.36619,C(C(C(C(=O)N(c1c(c(c(nc1[H])[H])[H])[H])[H])(c1c(c(c(c(Cl)c1[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],6,Z5210373425,False
-4.80821,[H]c1nc([H])c(C(C(=O)C([H])([H])c2c([H])c([H])nc([H])c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-4.51899,[H]OC([H])([H])C([H])([H])C([H])([H])N([H])n1nnnc1C([H])([H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.17928,C(c1c(c(c2c(C(=O)N(c3c(c(c(nc3[H])[H])[H])[H])[H])c(sc2c1[H])[H])[H])[H])([H])([H])[H],6,Z1961819415,False
-5.5266,C(c1nc(SC(c2c(c(c(c(Br)c2[H])[H])[H])[H])([H])[H])c(c(c2c(c(c(nc2[H])[H])[H])[H])n1)[H])([H])([H])[H],6,Z1172270586,False
-5.34472,[H]c1nc([H])c([C@]2(C([H])([H])c3nc4c([H])c([H])c([H])c([H])c4o3)C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.27764,[H]c1nc([H])c([C@]2([H])C([H])([H])N([H])C(=O)[C@@]2([H])c2nc3c([H])c([H])c([H])c([H])c3o2)c([H])c1[H],6,,False
-5.39833,[H]c1nc([H])c(C#Cc2c([H])nn([H])c2-c2c([H])nc([H])c([H])c2[H])c([H])c1[H],6,,False
-4.87328,[H]c1nc([H])c(-c2nc(C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])s2)c([H])c1[H],6,,False
-5.43287,[H]O[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])c1c(-c2c([H])nc([H])c([H])c2[H])nc2n1C([H])([H])C([H])([H])S2,6,,False
-4.6356,[H]c1nc([H])c(N(c2nc(C(F)(F)F)c([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.35885,[H]N=c1sc([H])c([C@@]([H])(O[H])c2c([H])c([H])c([H])c([H])c2[H])n1-c1c([H])nc([H])c([H])c1[H],6,,False
-4.79325,O=C(N(c1c(c(c(c(c1O[H])[H])[H])[H])[H])[H])c1c(N(c2c(c(c(nc2[H])[H])[H])[H])[H])sc(n1)[H],6,PV-002233318627,False
-5.5818,c1(c(nc(c(C(C2(C(C(C(N2c2nc(c3c(c(c(c(c3n2)[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])c1[H])[H])[H])[H],6,Z4027347340,False
-5.16727,[H]c1nc([H])c(N([H])c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])c([H])c1[H],6,,False
-5.13631,[H]c1nc([H])c(Oc2c([H])nn([H])c2N2C([H])([H])C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C2([H])[H])c([H])c1[H],6,,False
-5.64403,O(c1c(c(c(c(c1SC(C1(C(n2c(nnc2c2c(c(c(nc2[H])[H])[H])[H])S1)([H])[H])[H])([H])[H])[H])[H])[H])[H])[H],6,Z1614836304,False
-5.6915,[H]c1nc([H])c(C#CC2(c3nnc(-c4c([H])nc([H])c([H])c4[H])s3)C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.30216,[H]c1nc([H])c(C([H])([H])[C@@]([H])(Cl)c2c([H])c([H])c([H])c3c([H])c([H])c([H])nc23)c([H])c1[H],6,,False
-5.48875,FC(F)(F)c1c(c(nnc1N1C(C(C(=C(c2c(c(c(nc2[H])[H])[H])[H])C1([H])[H])[H])([H])[H])([H])[H])[H])[H],6,Z3392512565,False
-5.55915,[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])(c3c([H])sc4c([H])c([H])c([H])c([H])c34)C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.87285,C(C(OC(C(C([H])([H])[H])(C([N+](C(c1c(nc(c(c2c(c(c(nc2[H])[H])[H])[H])c1[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z4878773981,False
-5.58015,[H]c1nc([H])c(-c2c([H])c([H])c([H])n2C([H])([H])c2nc(OC([H])([H])[H])c([H])c([H])c2[H])c([H])c1[H],6,,False
0.0,c1(c(nc(c(C(C([N+]2(C(C(C(C2(c2c(c(c(c3c(c(c(c(c23)[H])[H])[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])c1[H])[H])[H])[H],6,Z1207881004,False
-5.30815,[H]c1nc([H])c(N2C([H])([H])[C@]3([H])N(N4C([H])([H])c5c([H])c([H])c([H])c([H])c5C([H])([H])C4([H])[H])C([H])([H])[C@@]2([H])C3([H])[H])c([H])c1[H],6,,False
-5.87313,[H]c1nc([H])c(-c2nnc(C3([C@@]([H])(c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])[H])C([H])([H])C3([H])[H])s2)c([H])c1[H],6,,False
-4.68325,[H]c1nc([H])c(N([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])nc1-c1c([H])nc([H])c([H])c1[H],6,,False
-5.64555,C(C(C(N(C(=O)N1C(C(C(C1(C(c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(c1c(c(nc(c1[H])[H])[H])[H])[H])([H])([H])[H],6,Z4034961600,False
-5.33199,FC(F)(F)c1c(c(c2noc(C(C(c3c(c(c(nc3[H])[H])[H])[H])([H])[H])([H])[H])n2)c(c(n1)[H])[H])[H],6,Z2160844821,False
-5.05176,O=C(C(=C(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])N(C(c1c(oc2c(c(c(c(c12)[H])[H])[H])[H])[H])([H])[H])[H],6,Z1204303374,False
-5.213,[H]c1nc([H])c(N([H])c2c([H])nn([H])c2-c2c([H])nc([H])c([H])c2[H])s1,6,,False
-5.34523,[H]c1nc([H])c(-c2nn3c([H])c([H])n(C([H])([H])N4C([H])([H])C([H])([H])N([H])C([H])([H])C4([H])[H])c3c2[H])c([H])c1[H],6,,False
